Id,Label,u,v,w,u+w,Deficient,Central,Dexterity,ReflD,ReflC,ReflX,ReflType
0,#4004,OO3,GGG:WGR:WRR|OOY:WOO:BRL|YYY:BLL:BBL,97,OO3a,O,O,3,O,O,0,OO0
1,#4015,BB1,GGG:WGO:WBO|LRO:WBO:BBY|LRR:LLR:YYY,102,BB1f,B,B,1,B,B,6,BB6
2,#4023,YL3,GGG:WGR:WRR|LLY:WLY:BRY|LOY:BOO:BBO,100,YL3d,Y,L,3,Y,R,4,YR4
3,#4026,LL3,GGG:WGR:WRR|BLL:WLO:YRO|BBO:BLO:YYY,104,LL3h,L,L,3,R,R,4,RR4
4,#4027,YR3,GGG:WGL:WLL|BRR:WRL:YYY|BBR:BOO:OOY,104,YR3h,Y,R,3,Y,L,4,YL4
5,#4028,RR3,GGG:WGY:WOY|BLL:WRR:OOY|BBL:BRL:ORY,102,RR3f,R,R,3,L,L,4,LL4
6,#4029,LR3,GGG:WGY:WOY|BRR:WRL:OOY|BBR:BLL:OLY,102,LR3f,L,R,3,R,L,4,RL4
7,#4030,LR5,GGG:WGL:WYY|BLL:WRL:RRY|BBO:BOO:ROY,110,LR5n,L,R,5,R,L,2,RL2
8,#4031,LR7,GGG:WGL:WOO|BLL:WRL:OOY|BBY:BRY:RRY,107,LR7k,L,R,7,R,L,0,RL0
9,#4032,YR5,GGG:WGY:WOY|BRR:WRY:LOO|BBR:BLY:LLO,98,YR5b,Y,R,5,Y,L,2,YL2
10,#4033,OO1,GGG:WGR:WRR|BOY:WOO:LRO|BBY:BLY:LLY,109,OO1m,O,O,1,O,O,2,OO2
11,#4039,RR7,GGG:YGO:YYY|LRO:LRO:BWW|LLO:BRR:BBW,97,RR7a,R,R,7,L,L,0,LL0
12,#4040,LR7,GGG:YGO:YYY|RLO:RRO:BWW|RLO:BLL:BBW,97,LR7a,L,R,7,R,L,0,RL0
13,#4041,BB6,GGG:YGO:YYY|BWO:BBO:LRR|WWO:BLR:LLR,105,BB6i,B,B,6,B,B,1,BB1
14,#4042,WW6,GGG:YGO:YYY|BWO:WWO:LRR|BBO:BLR:LLR,104,WW6h,W,W,6,W,W,0,WW0
15,#4043,BB7,GGG:YGO:YYY|BBO:WBO:LRR|WBO:WLR:LLR,101,BB7e,B,B,7,B,B,0,BB0
16,#4044,WW6,GGG:YGO:YYY|LWO:LWO:BRR|LLO:BWR:BBR,101,WW6e,W,W,6,W,W,0,WW0
17,#4045,LL6,GGG:YGO:YYY|LWO:LLO:BRR|WWO:BLR:BBR,98,LL6b,L,L,6,R,R,1,RR1
18,#4046,WL6,GGG:YGO:YYY|WWO:WLO:BRR|LLO:BLR:BBR,98,WL6b,W,L,6,W,R,1,WR1
19,#4053,RL2,GGG:YGO:YYY|BWW:LLO:LRO|BBW:BRR:LRO,98,RL2b,R,L,2,L,R,5,LR5
20,#4054,LL2,GGG:YGO:YYY|BWW:RLO:RLO|BBW:BLL:RRO,98,LL2b,L,L,2,R,R,5,RR5
21,#4055,BB3,GGG:YGO:YYY|RLL:BBO:BWO|RRL:BRL:WWO,105,BB3i,B,B,3,B,B,4,BB4
22,#4056,WW2,GGG:YGO:YYY|RLL:WWO:BWO|RRL:BRL:BBO,103,WW2g,W,W,2,W,W,4,WW4
23,#4057,BB2,GGG:YGO:YYY|RLL:WBO:BBO|RRL:WRL:WBO,101,BB2e,B,B,2,B,B,5,BB5
24,#4058,RR3,GGG:YGO:YYY|BLL:RRO:RWO|BBL:BRL:WWO,105,RR3i,R,R,3,L,L,4,LL4
25,#4059,WW2,GGG:YGO:YYY|BLL:RWO:RWO|BBL:BWL:RRO,100,WW2d,W,W,2,W,W,4,WW4
26,#4060,WR2,GGG:YGO:YYY|BLL:WRO:WWO|BBL:BRL:RRO,97,WR2a,W,R,2,W,L,5,WL5
27,#4067,OO2,GGG:YGO:YYY|LWW:LOO:BRR|LLW:BOR:BBR,101,OO2e,O,O,2,O,O,1,OO1
28,#4068,OO3,GGG:YGO:YYY|BLL:ROO:RWW|BBL:BOL:RRW,100,OO3d,O,O,3,O,O,0,OO0
29,#4080,BB4,GGG:YGR:YRR|BWW:BBL:YRL|OOW:BOO:YLL,101,BB4e,B,B,4,B,B,3,BB3
30,#4081,OO0,GGG:YGR:YRR|BWW:OOL:YRL|BBW:BOO:YLL,101,OO0e,O,O,0,O,O,3,OO3
31,#4082,OO1,GGG:YGR:YRR|BOO:OOL:YRL|BBW:BWW:YLL,100,OO1d,O,O,1,O,O,2,OO2
