Source,Target,length,a,b):
0,153,2,50,
0,58,2,0,
1,236,2,0,
1,235,2,4,
1,231,2,50,
1,169,2,0,
1,62,2,4,
2,204,2,50,
2,100,2,0,
2,74,2,65,
3,157,2,48,
3,104,2,4,
4,202,2,69,
4,190,2,48,
5,176,2,48,
5,64,2,0,
5,6,2,0,
6,201,2,69,
6,182,2,48,
6,65,2,0,
7,207,2,48,
8,195,2,48,
9,223,2,48,
9,200,2,69,
10,213,2,48,
11,124,2,85,
11,20,2,2,
11,16,2,0,
11,12,2,0,
12,93,2,85,
12,19,2,2,
13,109,2,85,
13,21,2,2,
13,17,2,0,
13,15,2,0,
13,14,2,0,
14,184,2,32,
14,107,2,85,
14,22,2,2,
14,15,2,0,
15,234,2,4,
15,108,2,85,
15,23,2,2,
16,110,2,85,
16,27,2,0,
16,25,2,2,
16,18,2,0,
16,17,2,0,
17,112,2,85,
17,24,2,2,
17,18,2,0,
18,111,2,85,
18,26,2,2,
19,133,2,69,
19,20,2,0,
20,134,2,69,
20,25,2,0,
21,24,2,0,
21,23,2,0,
21,22,2,0,
22,23,2,0,
23,237,2,4,
24,26,2,0,
24,25,2,0,
25,28,2,0,
25,26,2,0,
27,106,2,69,
27,28,2,2,
29,231,2,0,
29,62,2,69,
29,32,2,0,
29,30,2,0,
30,132,2,69,
30,31,2,0,
31,32,2,0,
32,232,2,0,
33,143,2,81,
33,34,2,0,
34,144,2,81,
34,44,2,0,
35,239,2,69,
35,233,2,81,
35,49,2,0,
36,238,2,69,
36,225,2,81,
36,48,2,0,
37,226,2,81,
37,117,2,4,
37,50,2,0,
38,149,2,81,
38,70,2,2,
38,40,2,0,
38,39,2,0,
39,148,2,81,
39,126,2,69,
39,72,2,2,
39,42,2,0,
39,40,2,0,
40,147,2,81,
40,71,2,2,
40,58,2,32,
41,152,2,81,
41,67,2,2,
41,43,2,0,
41,42,2,0,
42,151,2,81,
42,97,2,69,
42,69,2,2,
42,43,2,0,
43,150,2,81,
43,68,2,2,
44,192,2,81,
45,194,2,81,
45,95,2,85,
45,47,2,0,
45,46,2,0,
46,193,2,81,
46,47,2,0,
47,195,2,81,
48,135,2,69,
49,136,2,69,
52,53,2,0,
53,54,2,0,
54,82,2,4,
56,139,2,0,
56,86,2,54,
58,61,2,0,
59,60,2,0,
62,132,2,0,
64,72,2,0,
64,65,2,0,
65,203,2,69,
65,75,2,0,
65,69,2,0,
66,76,2,0,
67,205,2,69,
67,69,2,0,
67,68,2,0,
68,207,2,69,
68,69,2,0,
69,206,2,69,
69,72,2,0,
70,72,2,0,
70,71,2,0,
71,72,2,0,
73,204,2,69,
73,100,2,52,
73,74,2,0,
74,137,2,69,
75,138,2,69,
78,102,2,54,
79,81,2,0,
82,183,2,0,
83,84,2,0,
86,89,2,0,
86,87,2,0,
87,139,2,69,
87,88,2,0,
88,90,2,0,
88,89,2,0,
89,91,2,0,
90,91,2,0,
92,96,2,0,
93,124,2,0,
93,94,2,0,
94,125,2,0,
95,98,2,2,
95,96,2,0,
96,99,2,2,
97,126,2,0,
98,208,2,69,
98,99,2,0,
99,141,2,69,
100,137,2,50,
101,186,2,50,
102,221,2,50,
103,179,2,48,
103,140,2,69,
104,114,2,52,
104,105,2,0,
105,115,2,52,
106,121,2,0,
106,116,2,0,
107,118,2,0,
107,113,2,0,
107,109,2,0,
107,108,2,0,
108,232,2,4,
108,119,2,0,
108,109,2,0,
109,235,2,65,
109,231,2,4,
109,120,2,0,
109,112,2,0,
110,124,2,0,
110,121,2,32,
110,121,2,0,
110,112,2,0,
110,111,2,0,
111,122,2,0,
111,112,2,0,
112,129,2,65,
112,123,2,0,
113,142,2,69,
114,157,2,0,
114,115,2,0,
117,127,2,85,
118,120,2,0,
118,119,2,0,
119,120,2,0,
120,229,2,65,
120,123,2,0,
121,125,2,0,
121,123,2,0,
121,122,2,0,
122,123,2,0,
123,128,2,65,
124,125,2,0,
127,226,2,0,
128,229,2,0,
128,130,2,0,
128,129,2,0,
129,235,2,0,
130,230,2,0,
130,131,2,0,
131,227,2,0,
133,174,2,0,
133,161,2,0,
133,134,2,0,
134,171,2,0,
134,159,2,0,
135,238,2,0,
136,239,2,0,
137,204,2,0,
138,203,2,0,
141,208,2,0,
142,184,2,0,
143,144,2,0,
144,192,2,0,
145,222,2,0,
145,196,2,0,
145,146,2,0,
146,217,2,0,
146,197,2,0,
146,154,2,0,
147,170,2,0,
147,153,2,0,
147,149,2,0,
147,148,2,0,
148,171,2,0,
148,151,2,0,
148,149,2,0,
149,172,2,0,
150,173,2,0,
150,152,2,0,
150,151,2,0,
151,174,2,0,
151,152,2,0,
152,197,2,80,
152,175,2,0,
155,162,2,0,
155,156,2,0,
159,161,2,0,
160,192,2,80,
163,165,2,0,
163,164,2,0,
165,180,2,0,
166,177,2,0,
166,168,2,0,
166,167,2,0,
167,178,2,0,
168,181,2,0,
169,236,2,0,
170,172,2,0,
170,171,2,0,
171,174,2,0,
171,172,2,0,
173,175,2,0,
173,174,2,0,
174,175,2,0,
175,196,2,80,
176,182,2,0,
177,178,2,0,
178,183,2,0,
184,185,2,0,
186,187,2,0,
189,191,2,0,
193,195,2,0,
193,194,2,0,
194,195,2,0,
196,198,2,0,
196,197,2,0,
198,199,2,0,
201,203,2,0,
203,206,2,0,
205,207,2,0,
205,206,2,0,
206,207,2,0,
208,218,2,0,
209,215,2,0,
212,224,2,0,
217,222,2,0,
218,219,2,0,
227,230,2,0,
229,235,2,0,
229,230,2,0,
231,232,2,0,
234,237,2,2,
