Source,Target,length,a,b):
0,153,2,50,WG
0,58,2,0,WO
1,236,2,0,WB
1,235,2,4,OB
1,231,2,50,WG
1,169,2,0,WB
1,62,2,4,YB
2,204,2,50,WG
2,100,2,0,WL
2,74,2,65,GR
3,157,2,48,WG
3,104,2,4,RB
4,202,2,69,GR
4,190,2,48,WG
5,176,2,48,WG
5,64,2,0,WO
5,6,2,0,LR
6,201,2,69,GR
6,182,2,48,WG
6,65,2,0,WO
7,207,2,48,WG
8,195,2,48,WG
9,223,2,48,WG
9,200,2,69,GR
10,213,2,48,WG
11,124,2,85,GO
11,20,2,2,YG
11,16,2,0,WR
11,12,2,0,LR
12,93,2,85,GO
12,19,2,2,YG
13,109,2,85,GO
13,21,2,2,YG
13,17,2,0,LB
13,15,2,0,WB
13,14,2,0,WB
14,184,2,32,WG
14,107,2,85,GO
14,22,2,2,YG
14,15,2,0,WB
15,234,2,4,OB
15,108,2,85,GO
15,23,2,2,YG
16,110,2,85,GO
16,27,2,0,WO
16,25,2,2,YG
16,18,2,0,WL
16,17,2,0,WL
17,112,2,85,GO
17,24,2,2,YG
17,18,2,0,WL
18,111,2,85,GO
18,26,2,2,YG
19,133,2,69,WG
19,20,2,0,LR
20,134,2,69,WG
20,25,2,0,WL
21,24,2,0,RB
21,23,2,0,WB
21,22,2,0,WB
22,23,2,0,WB
23,237,2,4,OB
24,26,2,0,WR
24,25,2,0,WR
25,28,2,0,WO
25,26,2,0,WR
27,106,2,69,WG
27,28,2,2,YG
29,231,2,0,YB
29,62,2,69,WG
29,32,2,0,WO
29,30,2,0,OB
30,132,2,69,WG
30,31,2,0,WO
31,32,2,0,OB
32,232,2,0,YB
33,143,2,81,GO
33,34,2,0,LR
34,144,2,81,GO
34,44,2,0,WR
35,239,2,69,WG
35,233,2,81,GO
35,49,2,0,OB
36,238,2,69,WG
36,225,2,81,GO
36,48,2,0,OB
37,226,2,81,GO
37,117,2,4,RB
37,50,2,0,OB
38,149,2,81,GO
38,70,2,2,YG
38,40,2,0,WL
38,39,2,0,WL
39,148,2,81,GO
39,126,2,69,WG
39,72,2,2,YG
39,42,2,0,LR
39,40,2,0,WL
40,147,2,81,GO
