Id,Label,u,v,w,x,y,z):
0,#4004,97,,,,,
1,#4015,102,,,,,
2,#4023,100,,,,,
3,#4026,104,,,,,
4,#4027,104,,,,,
5,#4028,102,,,,,
6,#4029,102,,,,,
7,#4030,110,,,,,
8,#4031,107,,,,,
9,#4032,98,,,,,
10,#4033,109,,,,,
11,#4039,97,,,,,
12,#4040,97,,,,,
13,#4041,105,,,,,
14,#4042,104,,,,,
15,#4043,101,,,,,
16,#4044,101,,,,,
17,#4045,98,,,,,
18,#4046,98,,,,,
19,#4053,98,,,,,
20,#4054,98,,,,,
21,#4055,105,,,,,
22,#4056,103,,,,,
23,#4057,101,,,,,
24,#4058,105,,,,,
25,#4059,100,,,,,
26,#4060,97,,,,,
27,#4067,101,,,,,
28,#4068,100,,,,,
29,#4080,101,,,,,
30,#4081,101,,,,,
31,#4082,100,,,,,
32,#4083,100,,,,,
33,#4102,98,,,,,
34,#4103,98,,,,,
35,#4104,98,,,,,
36,#4107,98,,,,,
37,#4108,99,,,,,
38,#4134,98,,,,,
39,#4135,98,,,,,
40,#4136,98,,,,,
41,#4137,100,,,,,
42,#4138,98,,,,,
43,#4139,99,,,,,
44,#4140,97,,,,,
45,#4141,106,,,,,
46,#4142,105,,,,,
47,#4143,104,,,,,
48,#4148,105,,,,,
49,#4149,105,,,,,
50,#4150,99,,,,,
51,#4158,100,,,,,
52,#4159,97,,,,,
53,#4160,99,,,,,
54,#4161,97,,,,,
55,#4166,104,,,,,
56,#4169,104,,,,,
57,#4172,100,,,,,
58,#4173,97,,,,,
59,#4176,99,,,,,
60,#4177,99,,,,,
61,#4178,102,,,,,
62,#4199,102,,,,,
63,#4203,99,,,,,
64,#4204,99,,,,,
65,#4205,99,,,,,
66,#4210,103,,,,,
67,#4221,106,,,,,
68,#4222,105,,,,,
69,#4223,104,,,,,
70,#4224,99,,,,,
71,#4225,99,,,,,
72,#4226,104,,,,,
73,#4227,102,,,,,
74,#4228,97,,,,,
75,#4229,97,,,,,
76,#4230,102,,,,,
77,#4232,97,,,,,
78,#4234,100,,,,,
79,#4236,99,,,,,
80,#4237,98,,,,,
81,#4238,97,,,,,
82,#4242,97,,,,,
83,#4251,113,,,,,
84,#4252,112,,,,,
85,#4253,107,,,,,
86,#4256,103,,,,,
87,#4257,103,,,,,
88,#4258,103,,,,,
89,#4259,103,,,,,
90,#4260,104,,,,,
91,#4261,104,,,,,
92,#4283,100,,,,,
93,#4284,97,,,,,
94,#4285,97,,,,,
95,#4292,97,,,,,
96,#4293,98,,,,,
97,#4294,101,,,,,
98,#4303,99,,,,,
99,#4304,100,,,,,
100,#4305,99,,,,,
101,#4309,99,,,,,
102,#4316,101,,,,,
103,#4318,98,,,,,
104,#4320,109,,,,,
105,#4321,109,,,,,
106,#4322,102,,,,,
107,#4326,104,,,,,
108,#4327,110,,,,,
109,#4328,102,,,,,
110,#4329,101,,,,,
111,#4330,98,,,,,
112,#4331,102,,,,,
113,#4332,110,,,,,
114,#4339,108,,,,,
115,#4340,108,,,,,
116,#4341,107,,,,,
117,#4342,104,,,,,
118,#4345,105,,,,,
119,#4346,99,,,,,
120,#4347,106,,,,,
121,#4348,102,,,,,
122,#4349,99,,,,,
123,#4350,106,,,,,
124,#4361,97,,,,,
125,#4362,97,,,,,
126,#4363,101,,,,,
127,#4364,103,,,,,
128,#4365,107,,,,,
129,#4366,103,,,,,
130,#4367,97,,,,,
131,#4368,98,,,,,
132,#4369,102,,,,,
133,#4370,99,,,,,
134,#4371,99,,,,,
135,#4372,106,,,,,
136,#4373,106,,,,,
137,#4374,98,,,,,
138,#4375,98,,,,,
139,#4376,104,,,,,
140,#4377,97,,,,,
141,#4378,102,,,,,
142,#4379,111,,,,,
143,#4380,98,,,,,
144,#4381,98,,,,,
145,#4382,100,,,,,
146,#4383,100,,,,,
147,#4384,98,,,,,
148,#4385,98,,,,,
149,#4386,98,,,,,
150,#4387,99,,,,,
151,#4388,98,,,,,
152,#4389,100,,,,,
153,#4390,98,,,,,
154,#4391,99,,,,,
155,#4392,106,,,,,
156,#4393,112,,,,,
157,#4394,103,,,,,
158,#4395,97,,,,,
159,#4396,100,,,,,
160,#4397,111,,,,,
161,#4398,100,,,,,
162,#4399,105,,,,,
163,#4400,101,,,,,
164,#4401,101,,,,,
165,#4402,100,,,,,
166,#4403,102,,,,,
167,#4404,101,,,,,
168,#4405,102,,,,,
169,#4406,102,,,,,
170,#4407,97,,,,,
171,#4408,101,,,,,
172,#4409,97,,,,,
173,#4410,102,,,,,
174,#4411,101,,,,,
175,#4412,103,,,,,
