Source,Target,length,Weight,a,b):
0,153,2,2,50,WG
0,147,3,3,50,WGO
0,142,3,3,4,LRB
0,106,3,3,4,YRB
0,83,3,3,85,YGO
0,83,3,3,0,WLR
0,61,3,3,0,WOR
0,58,2,2,0,WO
0,40,3,3,32,WGO
0,2,3,3,0,YOL
1,236,2,2,0,WB
1,235,2,2,4,OB
1,232,3,3,50,WGO
1,231,2,2,50,WG
1,229,3,3,4,YOB
1,169,2,2,0,WB
1,132,3,3,4,YOB
1,129,3,3,4,OLB
1,62,2,2,4,YB
2,204,2,2,50,WG
2,137,3,3,50,WGR
2,100,2,2,0,WL
2,74,2,2,65,GR
2,73,3,3,65,WGR
3,157,2,2,48,WG
3,105,3,3,4,ORB
3,104,2,2,4,RB
3,10,3,3,0,YOL
4,202,2,2,69,GR
4,190,2,2,48,WG
4,102,3,3,52,WGR
4,98,3,3,0,WYL
4,78,3,3,2,WGR
4,46,3,3,87,YGL
4,9,3,3,0,YOL
4,6,3,3,0,YOL
5,201,3,3,69,GLR
5,176,2,2,48,WG
5,80,3,3,0,WOR
5,72,3,3,0,WYO
5,64,2,2,0,WO
5,6,2,2,0,LR
6,201,2,2,69,GR
6,182,2,2,48,WG
6,75,3,3,0,WOR
6,69,3,3,0,WYO
6,65,2,2,0,WO
6,9,3,3,0,YOL
7,207,2,2,48,WG
7,206,3,3,48,WGL
7,205,3,3,48,WGL
7,164,3,3,69,GOL
7,68,3,3,67,WGR
7,8,3,3,0,YOR
8,195,2,2,48,WG
8,194,3,3,48,WGL
8,193,3,3,48,WGL
8,160,3,3,32,YGR
8,152,3,3,32,GOR
8,97,3,3,4,YLB
8,47,3,3,34,WGO
8,41,3,3,52,GOR
9,223,2,2,48,WG
9,200,2,2,69,GR
9,10,3,3,0,YOR
10,213,2,2,48,WG
10,105,3,3,4,YRB
11,159,3,3,71,WYG
11,143,3,3,0,WYB
11,134,3,3,71,WYG
11,125,3,3,85,YGO
11,124,2,2,85,GO
11,60,3,3,0,YOL
11,27,3,3,0,WOR
11,20,2,2,2,YG
11,18,3,3,0,WLR
11,17,3,3,0,WLR
11,16,2,2,0,WR
11,12,2,2,0,LR
12,161,3,3,71,WYG
12,144,3,3,0,WYB
12,133,3,3,71,WYG
12,111,3,3,0,WYL
12,94,3,3,85,YGO
